Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2015-11-24,40.712646484375,40.96061792226407,40.35947200231647,40.43461703386608,12950900
2015-11-25,40.63750076293945,40.82535902563835,40.39703954951443,40.79530101564902,9859400
2015-11-27,40.735198974609375,40.85542818933567,40.36699825859972,40.62248569820443,5483300
2015-11-30,40.64501953125,40.92304899641129,40.55484835512823,40.83287782028952,14603100
2015-12-01,41.2386589050293,41.26120098598618,40.765255139501626,40.87797127726694,11856000
2015-12-02,40.68259048461914,41.34385246252386,40.5999323790698,41.32131038518859,15288800
2015-12-03,40.209190368652344,41.02825269367637,40.08896116802911,40.892994484663944,19750000
2015-12-04,41.39646530151367,41.576810575201044,40.21671511617764,40.321915331457404,21464100
2015-12-07,40.87797164916992,41.238659280213774,40.50976808007843,41.15600116063259,15077300
2015-12-08,40.1190185546875,40.58490634147392,39.961218268814875,40.45716407190756,14785500
2015-12-09,39.68318557739258,40.43461872538455,39.30746900339659,39.863527927676266,19903700
2015-12-10,39.56295394897461,40.00629959361338,39.20226353766697,39.74329628813863,16333800
2015-12-11,38.40575408935547,39.23232952256344,38.075121622879976,39.0294421999054,24093500
2015-12-14,38.39823532104492,38.87163903901665,37.947376548255775,38.42829333696158,21586800
2015-12-15,39.46527099609375,39.675671369422254,38.961809274427566,38.961809274427566,21642300
2015-12-16,40.50225067138672,40.58490591562638,39.29995583016302,39.856017660033636,26044800
2015-12-17,39.70573425292969,40.72768396266671,39.60804712483971,40.58490980626817,17179600
2015-12-18,38.480892181396484,39.585499865280426,38.44332109596637,39.420183649599814,25509600
2015-12-21,38.916717529296875,39.00688869078408,38.383200762970695,38.8566015106457,16929000
2015-12-22,39.08205032348633,39.1722243963998,38.616162412730596,39.067024177825054,13241300
2015-12-23,39.54792404174805,39.55543711133793,39.13463641855118,39.29994974793609,14950200
2015-12-24,39.60804748535156,39.80342174330982,39.41267609388378,39.43521817499801,4671200
2015-12-28,39.36006164550781,39.502832884670305,39.04445829250463,39.502832884670305,8761700
2015-12-29,39.810935974121094,39.991281227757916,39.63059358697483,39.645619730494886,10155100
2015-12-30,39.29996109008789,39.78087794434743,39.26238999831584,39.705735760803336,8763300
2015-12-31,38.88666915893555,39.367585961393125,38.88666915893555,39.12712756016434,11281800
2016-01-04,38.420780181884766,38.46586433917061,37.71443114184482,38.13523476428372,23440200
2016-01-05,38.217891693115234,38.78146657368656,37.879746191474425,38.72886648081911,17444900
2016-01-06,37.661834716796875,38.00749619977755,37.391318280764374,37.646805707407246,22501800
2016-01-07,35.73816680908203,37.10577511034322,35.693079781631845,36.87282976825287,37902900
2016-01-08,34.663604736328125,36.62484530480787,34.58845971720685,36.61732936965105,30643000
2016-01-11,35.20464324951172,35.30984630230374,34.51332610153328,34.98672980638205,26284600
2016-01-12,35.22718048095703,35.69306814678219,34.76880588401267,35.69306814678219,26310000
